subj,exp,tp,self,other,fair,resp,rt,given,gen
1,1,10,3,100,-97,1,3.27021024886744,50,0
1,1,10,48,60,-12,1,5.92252777281647,10,0
1,1,10,53,23,30,1,5.32410262350641,-27,0
1,1,10,98,38,60,1,4.1984937159541,-12,0
1,1,10,50,100,-50,1,5.13386446393997,50,0
1,1,10,85,15,70,0,4.80766600618881,35,0
1,1,10,53,40,13,0,4.77488091730993,10,0
1,1,10,100,15,85,0,3.89483249751902,35,0
1,1,10,100,15,85,0,3.83431922962154,35,0
1,1,10,85,15,70,0,4.50378714019098,35,0
1,1,10,3,100,-97,0,3.96244481920985,-50,0
1,1,10,100,0,100,0,2.98728954532999,50,0
1,1,10,80,45,35,1,5.49965425140908,-5,0
1,1,10,75,0,75,0,2.61473879737423,50,0
1,1,10,50,43,7,0,3.07792934163081,7,0
1,1,10,5,83,-78,0,3.82635350986857,-33,0
1,1,10,50,100,-50,1,2.61662608250117,50,0
1,1,10,48,60,-12,0,2.55843086682216,-10,0
1,1,10,30,100,-70,0,3.17634558580721,-50,0
1,1,10,75,0,75,0,3.31340378162531,50,0
1,1,1.5,53,0,53,0,0.821042124423911,50,0
1,1,1.5,25,55,-30,0,1.18819152996912,-5,0
1,1,1.5,48,100,-52,0,1.05986519748149,-50,0
1,1,1.5,50,43,7,0,1.22497276095964,7,0
1,1,1.5,5,83,-78,0,0.911911643050189,-33,0
1,1,1.5,48,80,-32,0,1.02836878745984,-30,0
1,1,1.5,100,0,100,0,0.940083569532362,50,0
1,1,1.5,0,68,-68,0,1.2465237941833,-18,0
1,1,1.5,98,38,60,0,1.22015945940439,12,0
1,1,1.5,48,100,-52,1,1.37911523408184,50,0
1,1,1.5,48,80,-32,0,1.460116654378,-30,0
1,1,1.5,28,85,-57,0,0.898436813642547,-35,0
1,1,1.5,0,68,-68,0,0.870799497197368,-18,0
1,1,1.5,53,0,53,0,1.0679380807378,50,0
1,1,1.5,28,85,-57,0,0.768256401621329,-35,0
1,1,1.5,80,45,35,0,1.08949092517469,5,0
1,1,1.5,25,55,-30,NaN,NaN,0,0
1,1,1.5,53,40,13,0,0.802290020774308,10,0
1,1,1.5,53,23,30,0,0.578136272843039,27,0
1,1,1.5,30,100,-70,0,0.763370047761782,-50,0
1,1,10,94,13,81,0,1.8076889482345,37,0
1,1,10,89,30,59,0,9.49023473044508,20,0
1,1,10,6,84,-78,0,5.11469366795791,-34,0
1,1,10,0,54,-54,0,4.41181308281375,-4,0
1,1,10,11,71,-60,0,5.22648663410655,-21,0
1,1,10,95,11,84,0,6.40816076951705,39,0
1,1,10,91,14,77,0,5.15827812109819,36,0
1,1,10,89,6,83,0,4.75800040159811,44,0
1,1,10,40,81,-41,0,5.71787023567595,-31,0
1,1,10,29,93,-64,0,4.09489226758524,-43,0
1,1,10,71,3,68,0,5.37496845932765,47,0
1,1,10,97,21,76,0,4.32600077591451,29,0
1,1,10,6,63,-57,0,3.40668462999747,-13,0
1,1,10,39,70,-31,0,6.12426019913437,-20,0
1,1,10,37,76,-39,0,4.98037402790396,-26,0
1,1,10,35,83,-48,0,4.22694879558003,-33,0
1,1,10,93,21,72,0,5.07961678946231,29,0
1,1,10,80,22,58,0,4.1780342411148,28,0
1,1,10,64,47,17,0,5.00081871116163,3,0
1,1,10,3,87,-84,0,3.35000328746537,-37,0
1,1,1.5,82,13,69,0,0.925505710720245,37,0
1,1,1.5,53,23,30,0,1.0631848511166,27,0
1,1,1.5,87,23,64,0,1.13157810796838,27,0
1,1,1.5,8,86,-78,0,0.893245572071464,-36,0
1,1,1.5,10,88,-78,0,0.832387569749699,-38,0
1,1,1.5,62,18,44,0,0.988809455857336,32,0
1,1,1.5,55,23,32,0,1.05986368813683,27,0
1,1,1.5,68,32,36,0,1.07958026331289,18,0
1,1,1.5,84,25,59,0,1.21854747882753,25,0
1,1,1.5,69,17,52,0,0.839613408530568,33,0
1,1,1.5,21,56,-35,0,1.48199612109602,-6,0
1,1,1.5,24,100,-76,0,1.41223419009839,-50,0
1,1,1.5,26,83,-57,0,1.00984278370561,-33,0
1,1,1.5,82,19,63,0,1.22352892142771,31,0
1,1,1.5,29,99,-70,0,1.01253454977632,-49,0
1,1,1.5,37,90,-53,0,1.01821481916522,-40,0
1,1,1.5,65,12,53,0,1.2312893702474,38,0
1,1,1.5,95,22,73,0,0.964263881936859,28,0
1,1,1.5,29,62,-33,0,1.23597950924341,-12,0
1,1,1.5,86,16,70,0,1.15228088923686,34,0
1,1,10,93,8,85,0,1.9250583408284,42,0
1,1,10,13,51,-38,0,4.35429405374634,-1,0
1,1,10,76,8,68,0,1.96103297779337,42,0
1,1,10,89,6,83,0,4.24902930706594,44,0
1,1,10,88,21,67,0,3.20308091761217,29,0
1,1,10,20,64,-44,0,4.76747516459181,-14,0
1,1,10,55,2,53,0,2.73263012150892,48,0
1,1,10,33,85,-52,0,3.13990124064185,-35,0
1,1,10,11,95,-84,0,3.25158553394431,-45,0
1,1,10,64,22,42,0,4.36656412388402,28,0
1,1,10,5,62,-57,0,2.93059190187159,-12,0
1,1,10,28,75,-47,0,5.81830236118185,-25,0
1,1,10,58,49,9,1,3.79720865952731,-1,0
1,1,10,34,96,-62,0,2.89811321005072,-46,0
1,1,10,82,25,57,0,2.77920700226605,25,0
1,1,10,83,29,54,0,1.94506471026398,21,0
1,1,10,42,74,-32,0,4.59239565983989,-24,0
1,1,10,98,6,92,0,4.78902348099473,44,0
1,1,10,67,42,25,0,3.00158183604799,8,0
1,1,10,76,29,47,0,2.77407854944977,21,0
1,1,1.5,43,93,-50,0,1.07600553035263,-43,0
1,1,1.5,2,90,-88,0,1.0056775949397,-40,0
1,1,1.5,86,13,73,0,0.906096438209715,37,0
1,1,1.5,59,1,58,0,0.754495098513871,49,0
1,1,1.5,88,30,58,0,1.09693622273335,20,0
1,1,1.5,43,86,-43,0,0.95392849036034,-36,0
1,1,1.5,27,96,-69,0,0.952348507898932,-46,0
1,1,1.5,96,28,68,0,0.999401134233267,22,0
1,1,1.5,81,27,54,0,1.13979166218814,23,0
1,1,1.5,14,62,-48,0,0.874772093529828,-12,0
1,1,1.5,31,83,-52,0,0.986533363429771,-33,0
1,1,1.5,30,86,-56,0,0.959524840160157,-36,0
1,1,1.5,99,27,72,0,1.12596968340586,23,0
1,1,1.5,79,48,31,0,1.14961538577336,2,0
1,1,1.5,17,93,-76,0,0.9233274238577,-43,0
1,1,1.5,34,83,-49,0,1.38634137473309,-33,0
1,1,1.5,96,22,74,NaN,NaN,0,0
1,1,1.5,41,76,-35,0,0.999773338739033,-26,0
1,1,1.5,4,94,-90,0,0.819533986790702,-44,0
1,1,1.5,85,23,62,0,0.830645785492379,27,0
1,1,10,93,27,66,0,3.86898858493623,23,0
1,1,10,94,18,76,0,2.44515904433501,32,0
1,1,10,90,30,60,0,3.9430488289363,20,0
1,1,10,69,43,26,0,4.93249005428152,7,0
1,1,10,97,14,83,0,2.43435092586878,36,0
1,1,10,98,3,95,0,4.08357972598424,47,0
1,1,10,57,14,43,0,2.44293638272575,36,0
1,1,10,57,8,49,0,3.21232988258089,42,0
1,1,10,38,69,-31,0,3.68658332275299,-19,0
1,1,10,80,31,49,0,3.11754119844227,19,0
1,1,10,85,31,54,0,2.82454289947418,19,0
1,1,10,100,1,99,0,1.6096058165258,49,0
1,1,10,80,33,47,0,2.9637516102066,17,0
1,1,10,78,17,61,0,2.90418198486987,33,0
1,1,10,7,82,-75,0,2.88594879406992,-32,0
1,1,10,27,56,-29,0,3.30040892396391,-6,0
1,1,10,4,83,-79,0,3.98606757952984,-33,0
1,1,10,18,59,-41,0,2.70881265567004,-9,0
1,1,10,100,22,78,0,2.09066489379984,28,0
1,1,10,88,13,75,0,2.77383856357847,37,0
1,1,1.5,0,78,-78,0,0.815987629519441,-28,0
1,1,1.5,70,29,41,0,0.865671044382907,21,0
1,1,1.5,10,59,-49,0,0.97809763360965,-9,0
1,1,1.5,86,30,56,0,0.838469928674385,20,0
1,1,1.5,95,20,75,0,0.992218160854463,30,0
1,1,1.5,32,76,-44,0,0.995917867587195,-26,0
1,1,1.5,85,35,50,0,0.855643861077624,15,0
1,1,1.5,40,78,-38,0,1.29601944651404,-28,0
1,1,1.5,91,11,80,0,1.21559882221845,39,0
1,1,1.5,89,25,64,0,1.23322948245368,25,0
1,1,1.5,41,87,-46,0,1.3515548942396,-37,0
1,1,1.5,85,18,67,0,1.11579669736238,32,0
1,1,1.5,3,70,-67,0,1.2327564536954,-20,0
1,1,1.5,83,49,34,NaN,NaN,0,0
1,1,1.5,19,79,-60,0,0.96957043747534,-29,0
1,1,1.5,5,95,-90,0,1.01326054477431,-45,0
1,1,1.5,81,12,69,0,0.935656358455162,38,0
1,1,1.5,97,13,84,0,1.08469090585459,37,0
1,1,1.5,98,25,73,0,0.907693325334549,25,0
1,1,1.5,93,19,74,0,0.77003712698388,31,0
2,1,10,53,23,30,0,4.61853430842075,27,0
2,1,10,3,100,-97,0,5.76039066317935,-50,0
2,1,10,100,15,85,0,6.40862509607723,35,0
2,1,10,53,40,13,1,4.17540692647071,-10,0
2,1,10,100,0,100,0,4.37609639947914,50,0
2,1,10,75,0,75,0,5.30411439098225,50,0
2,1,10,53,0,53,0,5.01918816066973,50,0
2,1,10,30,100,-70,0,6.72231539168388,-50,0
2,1,10,25,55,-30,0,3.45298682791054,-5,0
2,1,10,25,55,-30,0,7.05127461647953,-5,0
2,1,10,53,0,53,0,6.83976246995189,50,0
2,1,10,0,68,-68,0,9.19700820036542,-18,0
2,1,10,30,100,-70,0,7.26690247010265,-50,0
2,1,10,98,38,60,1,7.52730924106527,-12,0
2,1,10,5,83,-78,0,7.80902296185013,-33,0
2,1,10,85,15,70,0,5.83929789072135,35,0
2,1,10,3,100,-97,0,7.5728633627341,-50,0
2,1,10,5,83,-78,0,5.32460176146105,-33,0
2,1,10,48,60,-12,1,4.1589863600102,10,0
2,1,10,50,43,7,1,6.78366550903593,-7,0
2,1,1.5,28,85,-57,0,1.2062249209921,-35,0
2,1,1.5,48,80,-32,1,1.422563680454,30,0
2,1,1.5,50,43,7,1,1.30217245583844,-7,0
2,1,1.5,48,60,-12,1,1.450525373044,10,0
2,1,1.5,53,40,13,1,1.23280163014715,-10,0
2,1,1.5,98,38,60,1,1.29573536195039,-12,0
2,1,1.5,100,0,100,0,1.07678813652001,50,0
2,1,1.5,100,15,85,0,1.09051692065987,35,0
2,1,1.5,28,85,-57,NaN,NaN,0,0
2,1,1.5,48,100,-52,1,0.964075902449622,50,0
2,1,1.5,0,68,-68,0,0.72580471677702,-18,0
2,1,1.5,50,100,-50,1,0.945004004361181,50,0
2,1,1.5,48,100,-52,1,0.859419695607357,50,0
2,1,1.5,48,80,-32,1,0.785207465310123,30,0
2,1,1.5,75,0,75,0,0.834201405253225,50,0
2,1,1.5,50,100,-50,1,0.784744697306451,50,0
2,1,1.5,80,45,35,1,0.777182530778191,-5,0
2,1,1.5,85,15,70,0,0.978228211384703,35,0
2,1,1.5,53,23,30,0,1.05142525003066,27,0
2,1,1.5,80,45,35,1,1.00846751949666,-5,0
2,1,10,91,43,48,0,8.6747831103703,7,0
2,1,10,98,9,89,0,8.41278940437769,41,0
2,1,10,48,64,-16,1,5.24157761934021,14,0
2,1,10,63,18,45,0,7.42261560223869,32,0
2,1,10,96,11,85,0,5.87434902009682,39,0
2,1,10,28,67,-39,0,5.22183466236402,-17,0
