subj,trial,tp,self,other,fair,resp,rt,ffix,fdur,gazeself,gazeother,gazelateself,gazelateother,given
1,1,10,3,100,-97,1,3.27021024886744,0,0,87,0,1195,744,50
1,2,10,48,60,-12,1,5.92252777281647,0,0,47,0,1871,2507,10
1,3,10,53,23,30,1,5.32410262350641,0,0,94,0,2228,1688,-27
1,4,10,98,38,60,1,4.1984937159541,0,0,56,0,1093,1938,-12
1,5,10,50,100,-50,1,5.13386446393997,0,0,0,177,1850,2241,50
1,6,10,85,15,70,0,4.80766600618881,0,0,103,0,2662,1541,35
1,7,10,53,40,13,0,4.77488091730993,0,0,103,0,1598,2389,10
1,8,10,100,15,85,0,3.89483249751902,0,0,96,0,1395,1651,35
1,9,10,100,15,85,0,3.83431922962154,0,0,56,0,1703,1217,35
1,10,10,85,15,70,0,4.50378714019098,0,0,92,0,1932,1895,35
1,11,10,3,100,-97,0,3.96244481920985,0,0,35,0,1753,1307,-50
1,12,10,100,0,100,0,2.98728954532999,0,0,95,0,1019,1420,50
1,13,10,80,45,35,1,5.49965425140908,0,0,101,0,2463,2101,-5
1,14,10,75,0,75,0,2.61473879737423,0,0,81,0,936,1120,50
1,15,10,50,43,7,0,3.07792934163081,0,0,0,114,853,1577,7
1,16,10,5,83,-78,0,3.82635350986857,0,0,98,0,1439,972,-33
1,17,10,50,100,-50,1,2.61662608250117,0,0,103,0,611,1009,50
1,18,10,48,60,-12,0,2.55843086682216,0,0,99,0,1014,1106,-10
1,19,10,30,100,-70,0,3.17634558580721,0,0,96,0,1034,1181,-50
1,20,10,75,0,75,0,3.31340378162531,0,0,94,0,2089,770,50
1,21,1.5,53,0,53,0,0.821042124423911,0,0,102,0,90,397,50
1,22,1.5,25,55,-30,0,1.18819152996912,0,0,0,95,475,333,-5
1,23,1.5,48,100,-52,0,1.05986519748149,0,0,128,0,195,485,-50
1,24,1.5,50,43,7,0,1.22497276095964,0,0,111,0,100,728,7
1,25,1.5,5,83,-78,0,0.911911643050189,0,0,131,0,54,480,-33
1,26,1.5,48,80,-32,0,1.02836878745984,0,0,141,0,63,471,-30
1,27,1.5,100,0,100,0,0.940083569532362,0,0,123,0,97,466,50
1,28,1.5,0,68,-68,0,1.2465237941833,0,0,108,0,252,550,-18
1,29,1.5,98,38,60,0,1.22015945940439,0,0,98,0,141,701,12
1,30,1.5,48,100,-52,1,1.37911523408184,0,0,69,0,529,472,50
1,31,1.5,48,80,-32,0,1.460116654378,0,0,0,116,484,540,-30
1,32,1.5,28,85,-57,0,0.898436813642547,0,0,61,0,189,377,-35
1,33,1.5,0,68,-68,0,0.870799497197368,0,0,118,0,62,437,-18
1,34,1.5,53,0,53,0,1.0679380807378,0,0,51,196,176,508,50
1,35,1.5,28,85,-57,0,0.768256401621329,0,0,73,0,117,314,-35
1,36,1.5,80,45,35,0,1.08949092517469,0,0,88,0,362,346,5
1,37,1.5,25,55,-30,NaN,NaN,0,0,98,0,421,693,0
1,38,1.5,53,40,13,0,0.802290020774308,0,0,110,0,141,300,10
1,39,1.5,53,23,30,0,0.578136272843039,0,0,97,0,100,144,27
1,40,1.5,30,100,-70,0,0.763370047761782,0,0,114,0,81,348,-50
1,41,10,94,13,81,0,1.8076889482345,0,0,100,0,615,683,37
1,42,10,89,30,59,0,9.49023473044508,0,0,0,22,3844,3950,20
1,43,10,6,84,-78,0,5.11469366795791,0,0,82,0,929,3636,-34
1,44,10,0,54,-54,0,4.41181308281375,0,0,47,0,1323,2671,-4
1,45,10,11,71,-60,0,5.22648663410655,0,0,99,0,1450,3106,-21
1,46,10,95,11,84,0,6.40816076951705,0,0,0,0,1660,3921,39
1,47,10,91,14,77,0,5.15827812109819,0,0,0,0,1994,2245,36
1,48,10,89,6,83,0,4.75800040159811,0,0,64,180,1314,2686,44
1,49,10,40,81,-41,0,5.71787023567595,0,0,75,0,1397,3773,-31
1,50,10,29,93,-64,0,4.09489226758524,0,0,44,0,1853,1835,-43
1,51,10,71,3,68,0,5.37496845932765,0,0,0,94,1802,2952,47
1,52,10,97,21,76,0,4.32600077591451,0,0,30,0,1806,1796,29
1,53,10,6,63,-57,0,3.40668462999747,0,0,79,0,1046,1917,-13
1,54,10,39,70,-31,0,6.12426019913437,0,0,92,0,2423,2853,-20
1,55,10,37,76,-39,0,4.98037402790396,0,0,36,0,1706,2494,-26
1,56,10,35,83,-48,0,4.22694879558003,0,0,54,0,1142,2563,-33
1,57,10,93,21,72,0,5.07961678946231,0,0,75,0,1682,2729,29
1,58,10,80,22,58,0,4.1780342411148,0,0,36,0,1727,1900,28
1,59,10,64,47,17,0,5.00081871116163,0,0,0,0,2348,1778,3
1,60,10,3,87,-84,0,3.35000328746537,0,0,83,0,661,2280,-37
1,61,1.5,82,13,69,0,0.925505710720245,0,0,107,0,176,366,37
1,62,1.5,53,23,30,0,1.0631848511166,0,0,123,0,199,486,27
1,63,1.5,87,23,64,0,1.13157810796838,0,0,118,0,345,392,27
1,64,1.5,8,86,-78,0,0.893245572071464,0,0,0,107,266,240,-36
1,65,1.5,10,88,-78,0,0.832387569749699,0,0,114,0,105,384,-38
1,66,1.5,62,18,44,0,0.988809455857336,0,0,267,0,138,470,32
1,67,1.5,55,23,32,0,1.05986368813683,0,0,141,0,109,618,27
1,68,1.5,68,32,36,0,1.07958026331289,0,0,138,0,167,573,18
1,69,1.5,84,25,59,0,1.21854747882753,0,0,150,0,229,652,25
1,70,1.5,69,17,52,0,0.839613408530568,0,0,0,100,219,227,33
1,71,1.5,21,56,-35,0,1.48199612109602,0,0,0,286,590,463,-6
1,72,1.5,24,100,-76,0,1.41223419009839,0,0,0,102,600,381,-50
1,73,1.5,26,83,-57,0,1.00984278370561,0,0,127,0,87,587,-33
1,74,1.5,82,19,63,0,1.22352892142771,0,0,0,107,429,397,31
1,75,1.5,29,99,-70,0,1.01253454977632,0,0,143,0,33,593,-49
1,76,1.5,37,90,-53,0,1.01821481916522,0,0,109,0,154,480,-40
1,77,1.5,65,12,53,0,1.2312893702474,0,0,90,0,136,751,38
1,78,1.5,95,22,73,0,0.964263881936859,0,0,0,108,0,678,28
1,79,1.5,29,62,-33,0,1.23597950924341,0,0,137,0,253,600,-12
1,80,1.5,86,16,70,0,1.15228088923686,0,0,0,152,398,359,34
1,81,10,93,8,85,0,1.9250583408284,0,0,73,0,713,618,42
1,82,10,13,51,-38,0,4.35429405374634,0,0,59,0,2071,1201,-1
1,83,10,76,8,68,0,1.96103297779337,0,0,121,0,221,1365,42
1,84,10,89,6,83,0,4.24902930706594,0,0,87,0,1397,2084,44
1,85,10,88,21,67,0,3.20308091761217,0,0,0,106,841,1948,29
1,86,10,20,64,-44,0,4.76747516459181,0,0,114,0,1129,2755,-14
1,87,10,55,2,53,0,2.73263012150892,0,0,0,108,1151,1124,48
1,88,10,33,85,-52,0,3.13990124064185,0,0,59,0,763,1868,-35
1,89,10,11,95,-84,0,3.25158553394431,0,0,74,0,716,1900,-45
1,90,10,64,22,42,0,4.36656412388402,0,0,60,0,2117,1774,28
1,91,10,5,62,-57,0,2.93059190187159,0,0,84,0,381,2159,-12
1,92,10,28,75,-47,0,5.81830236118185,0,0,11,0,1338,3810,-25
1,93,10,58,49,9,1,3.79720865952731,0,0,0,111,1447,1593,-1
1,94,10,34,96,-62,0,2.89811321005072,0,0,76,0,637,1775,-46
1,95,10,82,25,57,0,2.77920700226605,0,0,83,0,286,2139,25
1,96,10,83,29,54,0,1.94506471026398,0,0,0,113,785,744,21
1,97,10,42,74,-32,0,4.59239565983989,0,0,0,261,1825,2116,-24
1,98,10,98,6,92,0,4.78902348099473,0,0,0,105,1589,2280,44
1,99,10,67,42,25,0,3.00158183604799,0,0,0,121,1222,1299,8
1,100,10,76,29,47,0,2.77407854944977,0,0,0,145,838,1543,21
1,101,1.5,43,93,-50,0,1.07600553035263,0,0,0,264,340,345,-43
1,102,1.5,2,90,-88,0,1.0056775949397,0,0,0,271,359,257,-40
1,103,1.5,86,13,73,0,0.906096438209715,0,0,264,0,25,546,37
1,104,1.5,59,1,58,0,0.754495098513871,0,0,0,286,274,96,49
1,105,1.5,88,30,58,0,1.09693622273335,0,0,0,115,372,338,20
1,106,1.5,43,86,-43,0,0.95392849036034,0,0,127,0,65,551,-36
1,107,1.5,27,96,-69,0,0.952348507898932,0,0,0,215,342,227,-46
1,108,1.5,96,28,68,0,0.999401134233267,0,0,0,224,364,243,22
1,109,1.5,81,27,54,0,1.13979166218814,0,0,0,268,392,349,23
1,110,1.5,14,62,-48,0,0.874772093529828,0,0,0,256,405,112,-12
1,111,1.5,31,83,-52,0,0.986533363429771,0,0,0,137,352,237,-33
1,112,1.5,30,86,-56,0,0.959524840160157,0,0,144,0,117,496,-36
1,113,1.5,99,27,72,0,1.12596968340586,0,0,0,263,353,357,23
1,114,1.5,79,48,31,0,1.14961538577336,0,0,0,128,300,452,2
1,115,1.5,17,93,-76,0,0.9233274238577,0,0,0,114,328,251,-43
1,116,1.5,34,83,-49,0,1.38634137473309,0,0,0,139,462,526,-33
1,117,1.5,96,22,74,NaN,NaN,0,0,0,90,645,464,0
1,118,1.5,41,76,-35,0,0.999773338739033,0,0,0,73,324,294,-26
1,119,1.5,4,94,-90,0,0.819533986790702,0,0,0,272,243,50,-44
1,120,1.5,85,23,62,0,0.830645785492379,0,0,0,273,265,175,27
1,121,10,93,27,66,0,3.86898858493623,0,0,109,0,912,2154,23
1,122,10,94,18,76,0,2.44515904433501,0,0,0,28,800,1210,32
1,123,10,90,30,60,0,3.9430488289363,0,0,0,104,1576,1617,20
1,124,10,69,43,26,0,4.93249005428152,0,0,36,0,1149,3029,7
1,125,10,97,14,83,0,2.43435092586878,0,0,0,95,980,1049,36
1,126,10,98,3,95,0,4.08357972598424,0,0,0,98,1492,2027,47
1,127,10,57,14,43,0,2.44293638272575,0,0,0,93,814,1189,36
1,128,10,57,8,49,0,3.21232988258089,0,0,0,115,1104,1673,42
1,129,10,38,69,-31,0,3.68658332275299,0,0,0,98,1044,1715,-19
1,130,10,80,31,49,0,3.11754119844227,0,0,0,201,1142,1419,19
1,131,10,85,31,54,0,2.82454289947418,0,0,0,96,1393,1016,19
1,132,10,100,1,99,0,1.6096058165258,0,0,0,65,267,812,49
1,133,10,80,33,47,0,2.9637516102066,0,0,0,92,1106,1455,17
1,134,10,78,17,61,0,2.90418198486987,0,0,0,0,1130,1296,33
1,135,10,7,82,-75,0,2.88594879406992,0,0,0,286,319,2220,-32
1,136,10,27,56,-29,0,3.30040892396391,0,0,0,253,1031,1596,-6
1,137,10,4,83,-79,0,3.98606757952984,0,0,0,119,1856,952,-33
1,138,10,18,59,-41,0,2.70881265567004,0,0,0,18,433,1576,-9
1,139,10,100,22,78,0,2.09066489379984,0,0,0,4,417,1253,28
1,140,10,88,13,75,0,2.77383856357847,0,0,0,233,717,1434,37
1,141,1.5,0,78,-78,0,0.815987629519441,0,0,0,266,315,159,-28
1,142,1.5,70,29,41,0,0.865671044382907,0,0,0,276,291,190,21
1,143,1.5,10,59,-49,0,0.97809763360965,0,0,0,286,294,285,-9
1,144,1.5,86,30,56,0,0.838469928674385,0,0,0,273,302,144,20
1,145,1.5,95,20,75,0,0.992218160854463,0,0,0,286,254,358,30
1,146,1.5,32,76,-44,0,0.995917867587195,0,0,0,286,370,234,-26
1,147,1.5,85,35,50,0,0.855643861077624,0,0,0,286,376,129,15
1,148,1.5,40,78,-38,0,1.29601944651404,0,0,0,242,323,562,-28
1,149,1.5,91,11,80,0,1.21559882221845,0,0,0,274,756,127,39
1,150,1.5,89,25,64,0,1.23322948245368,0,0,0,118,380,467,25
1,151,1.5,41,87,-46,0,1.3515548942396,0,0,0,134,378,581,-37
1,152,1.5,85,18,67,0,1.11579669736238,0,0,0,122,310,417,32
1,153,1.5,3,70,-67,0,1.2327564536954,0,0,0,122,512,317,-20
1,154,1.5,83,49,34,NaN,NaN,0,0,0,139,625,427,0
1,155,1.5,19,79,-60,0,0.96957043747534,0,0,0,133,376,202,-29
1,156,1.5,5,95,-90,0,1.01326054477431,0,0,0,271,311,315,-45
1,157,1.5,81,12,69,0,0.935656358455162,0,0,0,122,384,154,38
1,158,1.5,97,13,84,0,1.08469090585459,0,0,202,0,96,651,37
1,159,1.5,98,25,73,0,0.907693325334549,0,0,0,286,271,253,25
1,160,1.5,93,19,74,0,0.77003712698388,0,0,0,268,345,93,31
2,1,10,53,23,30,0,4.61853430842075,0,0,32,0,1205,1770,27
2,2,10,3,100,-97,0,5.76039066317935,0,0,99,0,2130,2113,-50
2,3,10,100,15,85,0,6.40862509607723,0,0,115,0,703,4374,35
2,4,10,53,40,13,1,4.17540692647071,0,0,122,0,2087,765,-10
2,5,10,100,0,100,0,4.37609639947914,0,0,108,0,2227,806,50
2,6,10,75,0,75,0,5.30411439098225,0,0,113,0,2868,800,50
2,7,10,53,0,53,0,5.01918816066973,0,0,119,0,832,1645,50
2,8,10,30,100,-70,0,6.72231539168388,0,0,111,0,4316,690,-50
2,9,10,25,55,-30,0,3.45298682791054,0,0,265,0,1791,573,-5
2,10,10,25,55,-30,0,7.05127461647953,0,0,118,0,4048,1312,-5
