subj,exp,tp,self,other,fair,resp,rt,given,gen
6,1,10,15,0,15,1,4.67360439862568,-10,0
6,1,2,16,9,7,1,1.18506739977056,-1,0
6,1,2,20,0,20,1,1.0445456128291,-10,0
6,1,2,10,20,-10,0,1.59695981672485,-10,0
6,1,2,20,3,17,1,0.91160705612856,-7,0
6,1,2,10,9,1,1,1.00551514318431,-1,0
6,1,10,10,16,-6,0,1.00782882016028,-6,0
6,1,10,11,5,6,1,1.20264577319722,-5,0
6,1,10,5,11,-6,0,0.925219335624206,-1,0
6,1,10,1,20,-19,0,0.867015257732419,-10,0
6,1,10,0,14,-14,0,0.891201099657337,-4,0
6,1,10,11,8,3,1,1.30626859106451,-2,0
6,1,10,17,3,14,1,0.993058969072081,-7,0
6,1,2,20,8,12,1,0.684146437572053,-2,0
6,1,10,10,20,-10,0,0.80353502863727,-10,0
6,1,2,11,0,11,1,0.71808403207433,-10,0
6,1,2,6,20,-14,0,0.756243573883694,-10,0
6,1,2,6,17,-11,0,0.856925910651626,-7,0
6,1,2,10,12,-2,1,0.969171867125624,2,0
6,1,10,1,17,-16,0,1.52553383734266,-7,0
6,1,2,9,10,-1,0,0.591385658648505,0,0
6,1,10,13,10,3,1,0.658402749140805,0,0
6,1,2,2,18,-16,0,1.23506327605901,-8,0
6,1,10,20,9,11,1,1.10845544100812,-1,0
6,1,2,8,14,-6,1,1.92291738831591,4,0
6,1,2,8,11,-3,0,1.28092884306898,-1,0
6,1,10,9,16,-7,1,1.48037131729689,6,0
6,1,2,11,1,10,0,1.34394208476442,9,0
6,1,10,9,20,-11,1,1.67612261168324,10,0
6,1,10,11,4,7,0,2.30031871706888,6,0
6,1,10,12,5,7,0,1.6346794959918,5,0
6,1,10,19,2,17,1,1.14798955326478,-8,0
6,1,2,9,19,-10,1,1.07248128293213,9,0
6,1,2,9,16,-7,NaN,NaN,0,0
6,1,2,13,5,8,1,0.909356059564743,-5,0
6,1,10,3,19,-16,0,0.971883253150736,-9,0
6,1,2,11,4,7,1,1.0396389461639,-6,0
6,1,10,11,3,8,1,0.865442382588299,-7,0
6,1,10,5,16,-11,0,1.43319569301275,-6,0
6,1,2,11,2,9,1,0.722397983963674,-8,0
6,1,2,15,5,10,0,0.914042428406901,5,0
6,1,10,17,9,8,1,0.544267949599089,-1,0
6,1,10,19,1,18,0,0.89261525773145,9,0
6,1,2,9,19,-10,1,1.43616623138587,9,0
6,1,2,13,10,3,1,0.845344696448592,0,0
6,1,10,9,17,-8,1,0.926193631155911,7,0
6,1,2,14,2,12,0,1.24412701030815,8,0
6,1,10,11,1,10,0,1.31666180985121,9,0
6,1,2,7,16,-9,0,1.06643830469693,-6,0
6,1,10,11,4,7,0,1.05052371134116,6,0
6,1,10,13,8,5,1,0.723127422679681,-2,0
6,1,2,20,4,16,1,0.905230148911869,-6,0
6,1,2,19,4,15,1,1.75971958762966,-6,0
6,1,10,9,18,-9,1,1.41212591065232,8,0
6,1,2,16,1,15,1,1.10238973653941,-9,0
6,1,10,11,0,11,0,1.03604563573936,10,0
6,1,10,18,0,18,1,0.885759266895548,-10,0
6,1,2,11,4,7,0,0.86051555555423,6,0
6,1,2,9,20,-11,1,1.13277177548662,10,0
6,1,10,18,3,15,1,0.913990378006929,-7,0
6,1,10,11,2,9,0,0.806981351659488,8,0
6,1,2,6,20,-14,1,1.30596728522323,10,0
6,1,2,9,19,-10,1,1.02423899198038,9,0
6,1,10,11,4,7,0,0.738503550974201,6,0
6,1,10,0,13,-13,0,0.743833951888519,-3,0
6,1,2,9,18,-9,1,1.41302946162614,8,0
6,1,10,13,2,11,0,0.958738327606625,8,0
6,1,10,19,0,19,0,1.30741663230219,10,0
6,1,2,10,20,-10,1,0.85005379152426,10,0
6,1,2,9,12,-3,0,0.930668132876235,-2,0
6,1,10,7,14,-7,0,0.727453837342182,-4,0
6,1,10,4,14,-10,0,1.14940774341267,-4,0
6,1,10,11,3,8,0,1.31390753722917,7,0
6,1,2,17,1,16,0,1.07176247422649,9,0
6,1,10,3,11,-8,0,0.775948682703529,-1,0
6,1,2,9,20,-11,1,0.851612004582421,10,0
6,1,2,11,4,7,0,0.692242474227896,6,0
6,1,2,11,1,10,0,1.30692068728422,9,0
6,1,2,9,16,-7,1,0.841766781213664,6,0
6,1,10,9,18,-9,1,1.03478762886698,8,0
6,1,10,17,6,11,1,1.21675876288646,-4,0
6,1,10,9,16,-7,1,0.834723482244954,6,0
6,1,10,20,10,10,1,0.691892783504954,0,0
6,1,2,5,18,-13,1,1.36361823596781,8,0
6,1,2,9,18,-9,1,1.02325479954197,8,0
6,1,10,17,2,15,0,1.23343321878565,8,0
6,1,2,3,16,-13,0,0.842718350515497,-6,0
6,1,10,11,4,7,0,0.924014478809113,6,0
6,1,2,0,17,-17,0,0.689645452463083,-7,0
6,1,2,11,3,8,0,0.760734936997324,7,0
6,1,10,20,6,14,1,0.763535028636397,-4,0
6,1,10,9,20,-11,1,1.10311477663163,10,0
6,1,2,0,13,-13,0,0.821749369988538,-3,0
6,1,2,3,15,-12,0,0.775004810995597,-5,0
6,1,10,16,10,6,1,0.706745475372372,0,0
6,1,2,11,3,8,0,0.649564444443968,7,0
6,1,2,11,2,9,0,0.841911202749543,8,0
6,1,10,11,4,7,0,0.843273310423683,6,0
6,1,10,11,8,3,0,0.860991706758796,2,0
6,1,2,9,18,-9,0,0.700699564718889,-8,0
6,1,10,9,20,-11,1,0.883161512028892,10,0
6,1,2,12,6,6,0,1.15494597938232,4,0
6,1,10,1,19,-18,0,0.831224009163634,-9,0
6,1,10,11,4,7,0,0.872685819014805,6,0
