subj,exp,tp,self,other,fair,resp,rt,given,gen
1,1,1.5,50,43,7,1,1.06237186618637,-7,0
1,1,1.5,98,38,60,1,0.646609642957628,-12,0
1,1,1.5,30,100,-70,0,0.74286546888834,-50,0
1,1,1.5,53,40,13,1,0.700342178910432,-10,0
1,1,1.5,80,45,35,1,0.659433562856066,-5,0
1,1,10,53,23,30,1,2.20328982938554,-27,0
1,1,10,28,85,-57,0,1.30262984745787,-35,0
1,1,10,48,80,-32,1,1.05422518561318,30,0
1,1,10,3,100,-97,0,0.919407794053768,-50,0
1,1,10,25,55,-30,0,1.03777787145191,-5,0
1,1,1.5,53,0,53,0,0.614316164517732,50,0
1,1,1.5,5,83,-78,0,0.657097142520797,-33,0
1,1,1.5,48,60,-12,1,0.65763781086207,10,0
1,1,1.5,100,0,100,1,0.826258153554591,-50,0
1,1,1.5,85,15,70,0,0.612904561956384,35,0
1,1,10,100,15,85,1,1.19841135146999,-35,0
1,1,10,50,100,-50,1,1.32087657916418,50,0
1,1,10,75,0,75,0,1.01468895075595,50,0
1,1,10,0,68,-68,0,0.96879225689554,-18,0
1,1,10,48,100,-52,1,1.91681368569152,50,0
1,1,10,82,3,79,0,1.22533516855037,47,0
1,1,10,35,94,-59,0,1.60385579000831,-44,0
1,1,10,45,83,-38,1,0.959258166383734,33,0
1,1,10,20,83,-63,0,0.891844705391122,-33,0
1,1,10,98,28,70,1,0.77089481526491,-22,0
1,1,1.5,12,82,-70,0,0.558242076458555,-32,0
1,1,1.5,55,15,40,0,0.827221093029948,35,0
1,1,1.5,63,17,46,0,0.988296638142856,33,0
1,1,1.5,46,88,-42,1,0.663600191341175,38,0
1,1,1.5,48,54,-6,1,0.639536234859406,4,0
1,1,1.5,48,87,-39,0,0.70287507262401,-37,0
1,1,1.5,38,74,-36,0,0.741419410176604,-24,0
1,1,1.5,4,71,-67,0,0.634768089938007,-21,0
1,1,1.5,12,52,-40,0,0.571952325881284,-2,0
1,1,1.5,42,74,-32,1,0.7198788169826,24,0
1,1,10,32,88,-56,0,1.94924718806578,-38,0
1,1,10,100,48,52,1,1.01779806862396,-2,0
1,1,10,16,97,-81,0,1.27572948988382,-47,0
1,1,10,57,43,14,1,0.778972583533687,-7,0
1,1,10,42,79,-37,0,2.96629858454799,-29,0
1,1,10,49,92,-43,1,1.40848207821909,42,0
1,1,10,37,93,-56,0,1.43500488434256,-43,0
1,1,10,63,17,46,1,1.2683782332424,-33,0
1,1,10,9,71,-62,0,1.32435958293354,-21,0
1,1,10,43,76,-33,0,1.43427214128496,-26,0
1,1,1.5,1,95,-94,0,0.634889786133499,-45,0
1,1,1.5,33,90,-57,0,0.716060415563334,-40,0
1,1,1.5,35,61,-26,0,1.2582576550376,-11,0
1,1,1.5,12,79,-67,0,0.746801534398401,-29,0
1,1,1.5,47,75,-28,1,0.79943293971337,25,0
1,1,10,57,49,8,1,0.928125567013922,-1,0
1,1,10,16,99,-83,0,0.893516195306802,-49,0
1,1,10,50,100,-50,1,1.37993552300941,50,0
1,1,10,22,81,-59,0,0.751234281671714,-31,0
1,1,10,49,79,-30,1,1.66772026736544,29,0
1,1,1.5,53,22,31,0,0.978320115978931,28,0
1,1,1.5,42,74,-32,0,0.869720556942411,-24,0
1,1,1.5,82,23,59,1,0.717753165657996,-27,0
1,1,1.5,64,10,54,0,0.643567971173979,40,0
1,1,1.5,29,63,-34,0,0.796806207972622,-13,0
1,1,1.5,4,64,-60,0,0.637353034431726,-14,0
1,1,1.5,91,4,87,1,0.998685534465039,-46,0
1,1,1.5,31,61,-30,0,0.801362484215133,-11,0
1,1,1.5,48,55,-7,1,0.827975829377465,5,0
1,1,1.5,47,65,-18,1,0.917243654477716,15,0
1,1,10,17,54,-37,0,1.17846270579685,-4,0
1,1,10,50,100,-50,1,1.15764972389297,50,0
1,1,10,74,38,36,1,1.11454141244576,-12,0
1,1,10,49,67,-18,1,0.96038129030967,17,0
1,1,10,26,59,-33,0,0.756679819874989,-9,0
1,1,1.5,3,86,-83,0,0.560201678454177,-36,0
1,1,1.5,67,32,35,1,0.716183944532531,-18,0
1,1,1.5,46,55,-9,1,1.25009924471306,5,0
1,1,1.5,19,58,-39,0,0.61072246119511,-8,0
1,1,1.5,48,90,-42,0,0.708745447847832,-40,0
1,1,10,67,23,44,1,0.82666722871727,-27,0
1,1,10,64,10,54,1,0.804560308344662,-40,0
1,1,10,95,20,75,1,0.815182700078367,-30,0
1,1,10,59,46,13,1,0.833165145770181,-4,0
1,1,10,50,33,17,1,0.938382870161149,-17,0
1,1,1.5,97,2,95,0,0.620339026540023,48,0
1,1,1.5,30,100,-70,0,0.894294757716125,-50,0
1,1,1.5,47,74,-27,1,0.82160913894586,24,0
1,1,1.5,2,58,-56,0,0.703463026533427,-8,0
1,1,1.5,49,89,-40,1,1.02217986477808,39,0
1,1,10,46,63,-17,1,0.927466501472736,13,0
1,1,10,50,61,-11,1,0.797361538503537,11,0
1,1,10,49,54,-5,1,0.815896015732505,4,0
1,1,10,49,56,-7,1,0.713969586948224,6,0
1,1,10,28,85,-57,0,0.799755141388232,-35,0
1,1,10,9,89,-80,0,0.849253602775207,-39,0
1,1,10,93,31,62,1,1.18579050293192,-19,0
1,1,10,84,49,35,1,0.941155857270132,-1,0
1,1,10,50,61,-11,1,0.802312594272735,11,0
1,1,10,68,1,67,0,0.828886718069043,49,0
1,1,1.5,50,100,-50,1,0.805420245922505,50,0
1,1,1.5,88,21,67,1,0.800314870579314,-29,0
1,1,1.5,48,66,-18,1,0.866655059098775,16,0
1,1,1.5,60,48,12,1,0.722710819414715,-2,0
1,1,1.5,4,78,-74,0,0.504718476744529,-28,0
1,1,1.5,35,65,-30,0,0.974117565123379,-15,0
1,1,1.5,4,84,-80,0,0.569860397601587,-34,0
1,1,1.5,97,34,63,1,0.789800612514227,-16,0
1,1,1.5,75,0,75,0,0.600969170909593,50,0
1,1,1.5,49,69,-20,1,0.755832345163071,19,0
1,1,10,91,25,66,1,0.791546879610905,-25,0
1,1,10,93,11,82,1,0.770833967168073,-39,0
1,1,10,59,25,34,0,1.87091442594829,25,0
1,1,10,47,80,-33,1,1.23877893262943,30,0
1,1,10,47,54,-7,1,0.872175007925762,4,0
1,1,10,45,76,-31,1,1.08624704694375,26,0
1,1,10,47,78,-31,1,1.0053927543122,28,0
1,1,10,48,74,-26,1,1.0159297387745,24,0
1,1,10,57,42,15,1,0.777912507033761,-8,0
1,1,10,88,37,51,1,0.781874231381153,-13,0
1,1,1.5,42,74,-32,0,0.743666024585764,-24,0
1,1,1.5,45,60,-15,1,0.917219461860441,10,0
1,1,1.5,5,51,-46,0,0.458487484902435,-1,0
1,1,1.5,32,57,-25,0,0.754869772241364,-7,0
1,1,1.5,61,45,16,1,0.559669807431419,-5,0
1,1,10,81,29,52,1,0.670874104920586,-21,0
1,1,10,63,37,26,1,0.830114676669837,-13,0
1,1,10,46,99,-53,0,1.0394563259124,-49,0
1,1,10,82,31,51,1,0.976695545075927,-19,0
