subj,exp,tp,self,other,fair,resp,rt,given,gen
1,1,10,75,0,75,1,2.5011031507338,-50,0
1,1,10,0,68,-68,1,5.62095015019622,18,0
1,1,10,25,55,-30,0,3.6081797004872,-5,0
1,1,10,53,0,53,0,4.58017371095957,50,0
1,1,10,30,100,-70,0,4.20946631257357,-50,0
1,1,10,53,23,30,1,3.13345832897994,-27,0
1,1,10,100,0,100,0,3.53210170466991,50,0
1,1,10,48,100,-52,1,4.05934104200878,50,0
1,1,10,48,80,-32,1,3.38926686937248,30,0
1,1,10,80,45,35,1,4.17789189892574,-5,0
1,1,10,28,85,-57,0,3.84715524935928,-35,0
1,1,10,3,100,-97,0,2.95385058071679,-50,0
1,1,10,48,60,-12,0,3.11182051944616,-10,0
1,1,10,30,100,-70,0,2.79975074181857,-50,0
1,1,10,53,23,30,1,3.55568959292123,-27,0
1,1,10,85,15,70,1,4.06564983990665,-35,0
1,1,10,53,0,53,0,3.15498507200027,50,0
1,1,10,48,100,-52,0,3.82485433974944,-50,0
1,1,10,100,15,85,0,3.70816302218191,35,0
1,1,10,53,40,13,1,3.42815041265112,-10,0
1,1,1.5,48,60,-12,1,0.456081258167615,10,0
1,1,1.5,100,15,85,1,0.602038052194075,-35,0
1,1,1.5,85,15,70,0,0.565990920404147,35,0
1,1,1.5,50,100,-50,1,0.683321878453171,50,0
1,1,1.5,48,80,-32,1,0.827978131260352,30,0
1,1,1.5,50,43,7,0,1.02333276517129,7,0
1,1,1.5,0,68,-68,0,0.698612768250314,-18,0
1,1,1.5,3,100,-97,0,0.77124843526326,-50,0
1,1,1.5,50,43,7,1,0.46452304630111,-7,0
1,1,1.5,5,83,-78,0,0.586552154525634,-33,0
1,1,1.5,100,0,100,1,0.77523839895639,-50,0
1,1,1.5,80,45,35,0,0.66849138318139,5,0
1,1,1.5,28,85,-57,0,1.06178780431037,-35,0
1,1,1.5,75,0,75,0,1.29574996471911,50,0
1,1,1.5,5,83,-78,0,1.16038004541679,-33,0
1,1,1.5,50,100,-50,0,1.25435257936442,-50,0
1,1,1.5,98,38,60,1,1.33626101730351,-12,0
1,1,1.5,53,40,13,1,1.2230215590007,-10,0
1,1,1.5,98,38,60,1,0.858285360297486,-12,0
1,1,1.5,25,55,-30,0,0.90021388551304,-5,0
1,1,10,75,0,75,0,1.76949336441703,50,0
1,1,10,75,31,44,0,4.83727472833561,19,0
1,1,10,5,66,-61,0,5.28781695652106,-16,0
1,1,10,74,35,39,1,5.53642743379532,-15,0
1,1,10,0,68,-68,0,5.591131173951,-18,0
1,1,10,20,84,-64,0,5.18767198356363,-34,0
1,1,10,15,86,-71,0,6.51222849644091,-36,0
1,1,10,20,64,-44,0,4.52820704557598,-14,0
1,1,10,70,23,47,1,4.7034802673661,-27,0
1,1,10,85,15,70,0,5.12742224885824,35,0
1,1,10,80,45,35,0,4.96537254017949,5,0
1,1,10,73,22,51,1,4.3072491977,-28,0
1,1,10,48,80,-32,1,4.66727001808977,30,0
1,1,10,58,19,39,1,4.27655525192495,-31,0
1,1,10,86,33,53,1,4.66980841942859,-17,0
1,1,10,12,92,-80,1,3.35916381211064,42,0
1,1,10,8,65,-57,0,3.88512533471112,-15,0
1,1,10,0,68,-68,0,4.22168142971532,-18,0
1,1,10,70,41,29,1,4.4889855375277,-9,0
1,1,10,0,98,-98,0,3.6896299432392,-48,0
1,1,1.5,79,43,36,1,0.576210139310206,-7,0
1,1,1.5,80,45,35,0,0.405481114110444,5,0
1,1,1.5,100,0,100,0,0.497509067682586,50,0
1,1,1.5,48,80,-32,0,0.522167666448695,-30,0
1,1,1.5,59,46,13,1,0.481376564965103,-4,0
1,1,1.5,6,57,-51,0,0.778808655856665,-7,0
1,1,1.5,85,12,73,0,0.56808139012719,38,0
1,1,1.5,18,63,-45,0,0.653420793631085,-13,0
1,1,1.5,0,68,-68,0,0.631383437893419,-18,0
1,1,1.5,7,75,-68,1,0.594728556006885,25,0
1,1,1.5,80,45,35,0,0.445992899807607,5,0
1,1,1.5,58,15,43,1,0.520710972308734,-35,0
1,1,1.5,33,63,-30,1,0.775973710593462,13,0
1,1,1.5,30,66,-36,0,0.653315225459664,-16,0
1,1,1.5,6,71,-65,0,0.615243970609299,-21,0
1,1,1.5,81,27,54,1,0.538584616737353,-23,0
1,1,1.5,38,57,-19,1,0.521240279389531,7,0
1,1,1.5,75,31,44,1,0.376540406400636,-19,0
1,1,1.5,48,100,-52,1,0.461866613882194,50,0
1,1,1.5,1,74,-73,0,0.375877306325492,-24,0
1,1,10,4,82,-78,0,0.945814570240145,-32,0
1,1,10,72,44,28,1,2.82286687230408,-6,0
1,1,10,75,0,75,0,3.77822069979175,50,0
1,1,10,86,25,61,1,2.52692703149933,-25,0
1,1,10,37,57,-20,1,2.8781505042889,7,0
1,1,10,39,68,-29,0,4.33546595701409,-18,0
1,1,10,15,83,-68,1,3.15804434962774,33,0
1,1,10,38,57,-19,1,2.36334988334329,7,0
1,1,10,0,68,-68,0,4.44129914830683,-18,0
1,1,10,92,1,91,0,4.30727082451358,49,0
1,1,10,2,88,-86,0,3.98654079128482,-38,0
1,1,10,20,52,-32,0,4.47911381385165,-2,0
1,1,10,87,2,85,0,3.57642200876398,48,0
1,1,10,19,59,-40,1,3.44507797565711,9,0
1,1,10,26,90,-64,1,3.98363839968897,40,0
1,1,10,85,12,73,1,2.81168434383744,-38,0
1,1,10,93,9,84,0,3.15954832951138,41,0
1,1,10,33,63,-30,1,3.09284390756147,13,0
1,1,10,8,76,-68,0,3.20550054158684,-26,0
1,1,10,75,0,75,0,4.18476702607495,50,0
1,1,1.5,93,23,70,1,0.506735285978721,-27,0
1,1,1.5,56,10,46,1,0.418719289467845,-40,0
1,1,1.5,44,59,-15,1,0.74935770198681,9,0
1,1,1.5,80,45,35,1,0.746725828828858,-5,0
1,1,1.5,54,12,42,1,0.673391872350294,-38,0
1,1,1.5,85,15,70,1,0.697992921800505,-35,0
1,1,1.5,28,97,-69,0,0.945930401983787,-47,0
1,1,1.5,1,99,-98,0,0.679925369167904,-49,0
